                  1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33           34           35           36           37           38           39           40           41           42           43           44           45           46           47           48           49           50           51           52           53           54           55           56           57           58           59           60           61           62           63           64           65           66           67           68           69           70           71           72           73           74           75           76           77           78           79           80           81           82           83           84           85           86           87           88
195209       13.413        4.785        7.680        0.000        5.123        0.688        1.669        1.021        0.000        2.895        6.162      215.460       86.053      125.474        0.000       84.030       10.275       25.914       11.092        0.000       39.421      100.675       28.327       26.568       27.898       27.476       27.818       28.172       30.980       28.349       27.254       29.463       28.732       31.205       30.001       30.788     -999.000       30.882       30.300       34.757       29.674     -999.000       31.750       31.783      128.048       17.400       18.064       15.665       15.878       65.474     2339.669     2808.882     3149.492     2759.863    10811.826      265.000       77.500     5291.433       10.404        2.999        8.512        2.257      133.500    28001.100     2525.235     3387.210       57.176       -3.838      -22.440        0.118        0.414       -0.692       -0.509        0.487       -0.260     -999.000       -0.558        0.022       -0.136        1.806        2.563       -8.130        1.017       10.887       10.837       30.000        0.000        0.000
195210        5.539        0.000        3.136        0.000        2.264        0.000        1.542        1.244        0.000        3.136        2.403       91.592        0.000       61.360        0.000       28.732        0.000       30.210       23.443        0.000       61.360       30.232       27.708       20.961       27.051       20.815       26.212       21.002       26.160       27.913       22.911       27.051       28.224       30.312     -999.000       30.358     -999.000       27.600     -999.000       29.286       31.353     -999.000       30.358       30.272      149.760       19.239       18.190       18.665       17.645       71.955     5250.391     4696.540     5020.785     3209.317    17742.768      117.500       80.000     5157.484       15.464        2.943       18.039        2.535      131.500    27405.451     2458.663     3180.872       87.816       -3.160      -20.403       -0.029        0.274       -0.211        0.155        0.331       -0.064     -999.000       -0.108        0.519     -999.000        2.517        3.146        6.519       -0.130       12.122       12.821       31.000        0.000        0.000
195211        1.789        0.000        0.000        0.000        1.789        0.000        0.000        0.000        0.000        0.000        1.789       22.863        0.000        0.000        0.000       22.863        0.000        0.000        0.000        0.000        0.000       22.863       22.878       17.374       17.701       17.492       22.546       22.224       18.990       15.664       15.696       17.994       22.878       24.909     -999.000     -999.000     -999.000       24.380     -999.000     -999.000     -999.000     -999.000     -999.000       24.909      142.375       19.737       18.940       18.124       15.225       70.446     5547.551     5737.044     3927.687     2590.113    17403.756      142.500       60.000     5066.400       11.157        5.585       12.748        6.993      156.000    26375.301     2293.867     2874.562       93.989      -14.855      -28.116       -0.374        0.304       -0.304        0.123       -0.061       -0.518     -999.000       -0.181        0.445     -999.000        0.358        1.271       12.731       -1.930       10.450       12.237       30.000        0.000        0.000
195212        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000       16.175       11.473       14.442       12.023       17.534       19.978       16.694       11.626       14.230       15.985       19.150     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000        0.000       19.129       20.259       19.032       16.965       73.461     6064.850     6830.258     4029.887     3275.114    19716.771      197.500       60.000     5065.161       12.838        2.756       12.564        3.163      138.000    25800.418     2199.651     2723.783      103.789      -16.119      -42.370       -0.222        0.064       -0.343        0.065     -999.000       -0.225       -0.669        0.151        0.292     -999.000        0.053        1.508       11.904       -4.472       10.599       11.981       28.000        3.000        0.000
195301        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000       13.738       12.602       13.163       11.752       14.908       13.974       14.186       11.499       14.033       13.880       14.853     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000        0.000       19.069       19.774       18.350       15.822       71.192     4707.322     5332.154     5403.760     3411.029    18368.701      280.000       67.500     4980.484       10.397        2.524        8.927        1.697      156.000    25851.164     2048.036     2528.969       75.653      -15.818      -41.518       -0.193        0.042       -0.591       -0.395        0.126        0.020       -0.189       -0.104       -0.061     -999.000       -1.687        0.427       12.351        0.097       10.948       11.931       23.000        8.000        0.000
195302        2.740        0.000        0.000        0.000        2.740        0.000        0.000        0.000        0.000        0.000        2.740       37.332        0.000        0.000        0.000       37.332        0.000        0.000        0.000        0.000        0.000       37.332       17.256       13.598       14.803       13.711       17.016       15.489       17.521       11.845       13.815       16.133       17.256       19.337     -999.000     -999.000     -999.000       18.979     -999.000     -999.000     -999.000     -999.000     -999.000       19.337      135.722       19.231       19.131       19.455       17.631       73.524     5336.279     6678.020     5976.581     3835.530    21282.184      357.500       90.000     4946.893        8.434        3.661        8.460        5.042      151.500    25674.713     2204.100     2786.879       99.217        2.189      -40.581        0.093        0.237       -0.564        0.438       -0.327       -0.053        0.214        0.522       -0.113     -999.000       -1.932       -0.073       11.133        2.145        8.894        7.865       15.000       13.000        0.000
195303        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000       14.727       14.313       14.804       17.241       15.138       12.578       17.477       12.255       13.622       15.114       13.899     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000        0.000       19.283       19.767       19.455       13.759       70.232     5404.364     5478.167     4926.461     3388.438    18657.008       67.500       82.500     4889.613       12.538        4.137       13.492        1.702      148.000    26493.000     2284.351     2844.639      116.287       12.112      -27.971        0.308       -0.226        0.372        0.021       -0.750        0.516     -999.000        0.813       -0.271     -999.000       -0.319        1.261        4.015       -0.104        9.832        8.503        9.000       22.000        0.000
195304        0.875        0.000        0.000        0.000        0.875        0.000        0.000        0.000        0.000        0.000        0.875       10.017        0.000        0.000        0.000       10.017        0.000        0.000        0.000        0.000        0.000       10.017       19.995       14.043       14.618       14.864       15.780       17.422       16.268       13.569       14.841       15.126       19.995       21.813     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000     -999.000       21.813      157.793       15.342       19.931       17.766       12.662       64.134     2532.260     3752.317     2136.789     2046.531    10204.042       70.000       85.000     5153.500        6.941        4.761        5.598        4.093      162.000    26586.900     2328.561     2953.440      113.076      -18.838      -44.703       -0.539        0.313        0.044       -0.412        0.233       -0.503     -999.000       -0.201       -0.255     -999.000        1.908        3.232       -2.021        2.215        8.854        7.235       30.000        0.000        0.000
195305        4.612        1.771        2.443        0.000        0.658        1.364        0.000        0.524        0.000        0.821        2.169       52.461       20.677       28.049        0.000        7.229       15.542        0.000        5.678        0.000        9.125       24.412       18.539       17.325       16.447       17.798       17.500       22.771       20.289       15.000       13.779       15.050       21.285       19.975       19.095       18.074     -999.000       17.807       24.704     -999.000       15.958     -999.000       16.341       22.403      158.195       16.785       20.259       18.325       14.118       67.501     2152.070     3009.298     2683.922     1745.432     9374.973      177.500       55.000     5291.871        8.781        1.891        8.778        2.550      162.000    27092.711     2427.122     3198.230      101.661       -9.066      -27.310       -0.413        0.506       -0.596        0.010       -0.090       -0.303     -999.000       -0.418       -0.067     -999.000        2.769        4.143       -2.325        1.484        7.650        7.522       25.000        6.000        0.000
195306       37.420        9.713       25.722        0.000        7.099        4.975        8.385        6.690        0.000       16.377       12.289      749.243      249.380      555.616        0.000      151.116       63.288      179.152      110.764        0.000      314.477      217.001       24.672       21.311       25.478       27.910       23.231       24.108       29.568       28.437       20.374       28.522       23.288       28.790       26.253       29.920     -999.000       27.438       26.850       33.749       32.429     -999.000       32.733       27.012      126.180       17.314       19.184       16.485       12.762       63.819     1708.578     2042.373     2944.433      986.371     7460.104      265.000       77.500     5329.567        4.672        2.903        6.578        2.063      159.000    27785.934     2476.578     3331.301       51.896        3.931      -14.034        0.307       -0.218       -0.404        0.089        0.412        0.003     -999.000       -0.457        0.452     -999.000        2.886        3.767       -1.567        2.687       10.060       12.265       28.000        2.000        0.000
