                  1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16
195706     -999.000        1.000        1.000      284.300        0.300     -999.000     -999.000        0.440       -0.440        3.210     -999.000     2521.000     -999.000     -999.000     -999.000        0.120
195707     -999.000        1.000        1.000      265.100        0.400     -999.000     -999.000       -0.500        0.050        4.050     -999.000     2180.000     -999.000     -999.000     -999.000       -0.270
195708     -999.000        4.000        1.000      223.700       -0.800     -999.000     -999.000       -0.620        1.000        6.300     -999.000     2023.000     -999.000     -999.000     -999.000       -0.860
195709     -999.000        5.000        2.000      334.000       -1.500     -999.000     -999.000       -0.850        1.340        8.360     -999.000     2671.000     -999.000     -999.000     -999.000       -0.680
195710     -999.000        4.000        0.000      359.400        0.100     -999.000     -999.000        0.520        1.620       10.460     -999.000     2831.000     -999.000     -999.000     -999.000       -0.680
195711     -999.000        3.000        0.000      298.600       -1.600     -999.000     -999.000        1.110        0.560       10.110     -999.000     2592.000     -999.000     -999.000     -999.000       -0.490
195712     -999.000        0.000        0.000      339.000       -0.500     -999.000     -999.000        0.060        0.100        7.350     -999.000     2865.000     -999.000     -999.000     -999.000       -0.490
195801     -999.000        1.000        0.000      286.700       -3.100     -999.000     -999.000        0.300        1.410        5.250        1.290     2515.000     -999.000     -999.000     -999.000       -0.860
195802     -999.000        0.000        0.000      233.600       -0.800     -999.000     -999.000        0.520        4.020        4.100        0.960     2122.000     -999.000     -999.000     -999.000       -2.030
195803     -999.000        0.000        0.000      270.000        0.400     -999.000     -999.000       -0.210        7.130        4.270        0.290     2515.000     -999.000     -999.000     -999.000       -2.670
195804     -999.000        1.000        0.000      277.600        0.600     -999.000     -999.000        0.090        8.230        1.980        0.140     2459.000     -999.000     -999.000     -999.000       -2.530
195805     -999.000        2.000        0.000      248.200       -0.800     -999.000     -999.000        0.910        7.870       -4.710       -0.200     2186.000     -999.000     -999.000     -999.000       -1.860
195806     -999.000        3.000        1.000      242.900        0.500     -999.000     -999.000        0.640        7.320      -10.600       -0.330     2205.000     -999.000     -999.000     -999.000       -1.720
195807     -999.000        7.000        2.000      271.000        0.700     -999.000     -999.000       -0.270        5.030      -13.910       -0.900     2241.000     -999.000     -999.000     -999.000       -0.470
195808     -999.000        5.000        2.000      283.500        1.500     -999.000     -999.000       -0.380        3.870      -15.590       -1.150     2370.000     -999.000     -999.000     -999.000       -0.290
195809     -999.000        6.000        2.000      285.100       -0.500     -999.000     -999.000       -0.940        3.660      -15.930       -1.360     2435.000     -999.000     -999.000     -999.000       -0.190
