                  1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26
195506       -1.773       -1.554       -0.785       -1.050       -0.794       -1.255        0.447       -1.246       -1.265       -0.448       -0.640       -2.250        8.396        5.739       19.887       11.564       -0.256        0.489        0.747        0.387        0.425       -1.241       -0.163       -1.108       -0.438        0.719
195507       -1.337       -1.288       -0.695       -1.038       -0.495       -1.145        0.185       -0.947       -1.052       -0.152       -0.642       -1.944        5.819        3.636       22.472       14.544        0.009        1.030        1.278        0.143        0.236       -1.010       -0.180       -0.931       -0.277        0.895
195508       -1.479       -1.430       -1.105       -1.330       -0.628       -1.364       -0.383       -0.714       -1.303       -0.191       -0.740       -0.891        4.514        2.981       22.401       15.814       -0.071        2.272        1.560       -0.387       -0.294       -0.988       -0.533       -0.757       -0.017        0.722
195509       -1.417       -1.697       -1.235       -1.449       -0.645       -1.553       -0.108       -0.776       -1.479       -0.113       -0.654       -2.003        5.053        3.801       22.341       18.346       -0.089        2.292        1.431       -0.060       -0.370       -1.203       -0.557       -0.674       -0.480        0.627
195510       -1.779       -2.359       -1.866       -2.265       -0.903       -2.065        0.129       -1.002       -2.095       -0.070       -0.661       -1.421        5.017        2.516       21.116       13.344       -0.064        2.905        1.924        0.170       -0.597       -1.612       -0.923       -0.733       -0.562       -0.029
195511       -1.783       -2.321       -1.856       -2.376       -0.700       -2.105       -0.194       -0.794       -2.073        0.203       -0.457       -1.009        2.769        0.664       20.372       15.188        0.162        1.622        1.062       -0.146       -0.607       -1.578       -0.928       -0.773        0.192       -0.368
195512       -1.713       -2.060       -1.353       -1.995       -0.482       -1.854        0.247       -0.698       -1.735        0.103       -0.856       -0.240        1.897        1.142       19.697       15.469        0.005        1.074        0.753        0.213       -0.104       -1.519       -0.529       -0.787        0.103       -0.558
195601       -1.276       -1.072       -1.196       -1.214       -0.394       -1.374       -0.279       -0.682       -1.145        0.289       -0.733        0.000        2.717        1.251       17.287       12.480        0.035        2.710        1.700       -0.223       -0.187       -0.593       -0.767       -0.707        0.281       -1.040
195602       -1.080       -0.711       -1.086       -0.977       -0.417       -1.087       -0.302       -0.712       -0.904        0.106       -0.920       -0.049        4.229        1.127       16.250        9.622       -0.050        2.583        1.767       -0.233       -0.270       -0.277       -0.801       -0.744        0.310       -0.660
195603       -0.690       -0.493       -0.977       -0.777       -0.514       -0.938       -0.369       -0.523       -0.711       -0.149       -0.951       -0.145       17.393        8.927       16.494       10.667       -0.130        2.867        2.177       -0.326       -0.372       -0.102       -0.780       -0.582       -0.121        0.008
195604       -1.097       -0.559       -0.918       -0.859       -0.530       -1.031        0.102       -0.652       -0.764       -0.213       -1.016       -0.880       19.963       16.656       17.999       11.896       -0.154        2.483        1.751        0.114       -0.180       -0.192       -0.694       -0.711       -0.297        0.438
195605       -1.049       -0.671       -0.739       -0.683       -0.531       -1.091        0.796       -1.116       -0.740       -0.507       -0.626       -0.295       16.370       10.990       19.970       14.217       -0.331        1.513        1.217        0.795        0.001       -0.375       -0.471       -1.090       -0.493        0.883
195606       -0.792       -0.735       -0.610       -0.783       -0.373       -0.972        0.962       -1.065       -0.690       -0.680       -0.623       -2.154       10.639        6.253       21.818       16.607       -0.617        1.166        1.479        0.892       -0.026       -0.491       -0.316       -1.085       -0.563        1.156
195607       -0.097       -0.909       -0.866       -0.954       -0.402       -1.142        0.208       -1.131       -0.803       -0.664       -0.639       -0.869        3.598        2.662       23.744       19.651       -0.434        2.510        1.476        0.212       -0.557       -0.562       -0.503       -1.076       -0.592        1.254
195608       -0.421       -1.038       -1.302       -1.162       -0.681       -1.216       -0.256       -0.965       -1.078       -0.587       -0.485       -2.293        1.896        2.218       21.385       13.122       -0.478        2.639        1.183       -0.348       -0.624       -0.517       -0.887       -0.900       -0.160        0.948
195609       -1.005       -1.054       -1.299       -1.003       -0.643       -1.157        0.054       -1.076       -1.148       -0.691       -0.432       -3.004        2.472        2.717       22.653       15.364       -0.496       -0.643       -0.170       -0.115       -0.261       -0.534       -0.878       -0.879       -0.720        0.989
195610       -1.210       -1.041       -0.984       -0.931       -0.305       -1.123        0.019       -1.054       -1.037       -0.483       -0.777       -1.324        3.486        1.669       24.113       19.954       -0.272        1.476        1.085        0.033       -0.145       -0.647       -0.568       -0.843       -0.697        0.793
